,"operater name","name","route","ivrpath","currency_name","clilimit","buyingrate","dailyrate","Weekly Rate","Monthly Rate","min duration","maxduration","calllimit","maxdailyminutes","Creation Date"
,"Aggregator","Algeria AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Benin AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","BVI AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","East AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Equatorial Guinea AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Iraq AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Jamaica AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Sao Tome AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Somalia AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Aggregator","Tunisia AT","","TeachYourselfEnglishINTHECITY.wav","USD","","0.00000","0.00000","0.00000","0.00000","7200","7200","100000","3000","2020-02-24"
,"Avalon","Afghanistan AV1","","Punjabi_IVR.wav","USD","0","0.05500","0.00000","0.04000","0.05000","980","1180","100000","3000","2017-11-16"
,"Avalon","Afghanistan AV2","","","USD","","0.05500","0.00000","0.04000","0.05000","740","1800","200000","3000","2019-09-27"
,"Avalon","Afghanistan AV3","","Punjabi_IVR.wav","USD","0","0.05500","0.00000","0.04000","0.05000","980","1180","100000","3000","2017-11-16"
,"Avalon","Afghanistan AV4","","","USD","","0.05500","0.00000","0.04000","0.05000","740","1800","200000","3000","2019-09-27"
,"Avalon","Afghanistan AV5","","","USD","","0.05500","0.00000","0.04000","0.05000","740","1800","200000","3000","2019-09-27"
,"Avalon","Albania AV1","","","USD","0","0.17500","0.00000","0.13000","0.15500","900","2400","200000","3000","2018-10-17"
,"Avalon","Albania AV10","","","USD","","0.17500","0.00000","0.13000","0.15500","980","1800","200000","3000","2019-06-16"
,"Avalon","Albania AV11","","","USD","0","0.17500","0.00000","0.13000","0.15500","980","2400","20000","3000","2019-06-16"
