,"operater name","name","route","ivrpath","currency_name","clilimit","buyingrate","dailyrate","Weekly Rate","Monthly Rate","min duration","maxduration","calllimit","maxdailyminutes","Creation Date"
,"Aggregator","Afghanistan AT","","TeachYourselfEnglishINTHECITY.wav","USD","0","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Albania AT","","1#-Segment.wav","USD","10","0.14000","0.00000","0.10000","0.12000","7000","7200","100000","13000","2018-06-18"
,"Aggregator","Algeria AT","","1#-Segment.wav","USD","15","0.14000","0.00000","0.10000","0.12000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Andorra AT","","1#-Segment.wav","USD","0","0.16000","0.00000","0.12000","0.14000","7000","7200","100000","100000","2018-06-18"
,"Aggregator","Angola AT","","1#-Segment.wav","USD","0","0.16000","0.00000","0.12000","0.14000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Anguilla AT","","1#-Segment.wav","USD","1","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Antarctica AT","","1#-Segment.wav","USD","0","0.21000","0.00000","0.16000","0.18500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Antigua AT","","ALLAH_Hoo.wav","USD","6","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Armenia AT","","1#-Segment.wav","USD","0","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Aruba AT","","1#-Segment.wav","USD","40","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Ascension Islands AT","","1#-Segment.wav","USD","2","0.28000","0.00000","0.22000","0.24000","8000","9200","100000","30000","2018-06-18"
,"Aggregator","Australia AT","","1#-Segment.wav","USD","0","0.17000","0.00000","0.12000","0.15000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Austria AT","","1#-Segment.wav","USD","0","0.12000","0.00000","0.08000","0.10000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Azerbaijan AT","","1#-Segment.wav","USD","10","0.12000","0.00000","0.08000","0.10000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Bahamas AT","","1#-Segment.wav","USD","0","0.12000","0.00000","0.08000","0.10000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Bahrain AT","","1#-Segment.wav","USD","0","0.12000","0.00000","0.08000","0.10000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Barbados AT","","1#-Segment.wav","USD","5","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Belarus AT","","1#-Segment.wav","USD","10","0.14000","0.00000","0.10000","0.12000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Belgium AT","","1#-Segment.wav","USD","20","0.13000","0.00000","0.09000","0.11000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Belize AT","","1#-Segment.wav","USD","0","0.11000","0.00000","0.07000","0.09000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Benin AT","","1#-Segment.wav","USD","35","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Bolivia AT","","1#-Segment.wav","USD","0","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Bosnia AT","","1#-Segment.wav","USD","30","0.13000","0.00000","0.09000","0.11000","7000","7200","100000","10000","2018-06-18"
,"Aggregator","Botswana AT","","1#-Segment.wav","USD","0","0.12000","0.00000","0.08000","0.10000","0","0","0","0","2018-06-18"
,"Aggregator","Brazil AT","","1#-Segment.wav","USD","0","0.07000","0.00000","0.05000","0.06000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","British AT","","1#-Segment.wav","USD","0","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Bulgaria AT","","1#-Segment.wav","USD","0","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Burkina Faso AT","","1#-Segment.wav","USD","3","0.15000","0.00000","0.11000","0.13000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Burundi AT","","1#-Segment.wav","USD","6","0.21000","0.00000","0.16000","0.18500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","BVI AT","","1#-Segment.wav","USD","2","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Cameroon AT","","1#-Segment.wav","USD","0","0.12000","0.00000","0.08000","0.10000","0","0","0","0","2018-06-27"
,"Aggregator","Cape Verde AT","","1#-Segment.wav","USD","2","0.15000","0.00000","0.11000","0.13000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","CAR AT","","1#-Segment.wav","USD","70","0.18000","0.00000","0.13000","0.15000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Cayman Island AT","","1#-Segment.wav","USD","2","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Cayman Islands AT","","1#-Segment.wav","USD","6","0.09000","0.00000","0.07000","0.07500","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Chad AT","","1#-Segment.wav","USD","6","0.19000","0.00000","0.14000","0.16000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Chile AT","","1#-Segment.wav","USD","4","0.20000","0.00000","0.14000","0.17000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Comoros AT","","1#-Segment.wav","USD","2","0.15000","0.00000","0.11000","0.13000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Congo AT","","1#-Segment.wav","USD","2","0.18000","0.00000","0.13000","0.15000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Cook AT","","1#-Segment.wav","USD","2","0.25000","0.00000","0.19000","0.22000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Croatia AT","","1#-Segment.wav","USD","2","0.18000","0.00000","0.13000","0.15000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Cuba AT","","TeachYourselfEnglishINTHECITY.wav","USD","0","0.30000","0.00000","0.23000","0.26000","7000","7200","100000","100000","2018-07-06"
,"Aggregator","Cyprus AT","","1#-Segment.wav","USD","2","0.12500","0.00000","0.09000","0.10500","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Diego Garcia AT","","1#-Segment.wav","USD","2","0.29000","0.00000","0.23000","0.25000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Djibouti AT","","1#-Segment.wav","USD","2","0.14000","0.00000","0.10000","0.12000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Dominica AT","","1#-Segment.wav","USD","30","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","3000","2018-06-18"
,"Aggregator","DR Congo AT","","1#-Segment.wav","USD","3","0.16000","0.00000","0.12000","0.14000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","East AT","","1#-Segment.wav","USD","2","0.22000","0.00000","0.17000","0.19000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Ecuador AT","","1#-Segment.wav","USD","6","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","13000","2018-06-18"
,"Aggregator","Egypt AT","","1#-Segment.wav","USD","2","0.10000","0.00000","0.07000","0.08500","7000","7200","100000","3000","2018-06-18"
,"Aggregator","El Salvador AT","","1#-Segment.wav","USD","2","0.08000","0.00000","0.06000","0.06500","7000","7200","100000","3000","2018-06-18"
,"Aggregator","ELLIPSO AT","","1#-Segment.wav","USD","2","0.35000","0.00000","0.25000","0.28000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Emsat AT","","1#-Segment.wav","USD","2","0.55000","0.00000","0.35000","0.38000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Equatorial Guinea AT","","ALLAH_Hoo.wav","USD","30","0.15000","0.00000","0.11000","0.13000","7000","7200","100000","30000","2018-06-18"
,"Aggregator","Equatorial Guinea ST","","TeachYourselfEnglishINTHECITY.wav","USD","0","0.24500","0.00000","0.19000","0.21000","7000","7200","100000","3000","2018-06-18"
,"Aggregator","Eritrea AT","","1#-Segment.wav","USD","2","0.11000","0.00000","0.07000","0.09000","7000","7200","100000","3000","2018-06-18"
