Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Sudan AT,Aggregator,0.1,0.07,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Equatorial Guinea AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mauritania AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cameroon AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Nigeria AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
DR Congo AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Montenegro AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Congo AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
UAE AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Malawi AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ghana AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Bolivia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
South Africa AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Jordan AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sudan AT,Aggregator,0,0.07,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,Any
Benin AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Iraq AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Zambia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Zimbabwe AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Turkmenistan AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Belarus AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Honduras AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Qatar AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Yemen AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Moldova AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Montenegro AV1,Aggregator,0.16,0.12,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Senegal AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Azerbaijan AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Jamaica AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mozambique AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sudan SA10,Aggregator,0.08,0.05,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Nicaragua AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Gambia LT2,Aggregator,0.19,0.14,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Liberia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guyana AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sudan SA2,Aggregator,0.055,0.045,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Comoros AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sudan SA12,Aggregator,0.06,0.05,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Angola AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burkina Faso AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Oman AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Haiti AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tanzania AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Macedonia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia AV17,Aggregator,0.2,0.14,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Serbia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Eritrea AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Zambia LT2,Aggregator,0.2,0.14,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco AV45,Aggregator,0.16,0.12,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Slovenia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Bosnia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Georgia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sri Lanka AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Seychelles AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Eritrea AV5,Aggregator,0.1,0.07,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Switzerland P12,Aggregator,0.14,0.1,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Pak,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Switzerland P12,Aggregator,0.14,0.12,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Monaco AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Qatar CT40,Aggregator,0.08,0.06,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Syria AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Iran AV2,Aggregator,0.06,0.045,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar LT5,Aggregator,0.25,0.19,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Somalia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia AV1,Aggregator,0.2,0.14,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia AV44,Aggregator,0.2,0.17,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Seychelles AV18,Aggregator,0.23,0.17,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Grenada AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sierra Leone AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Iran AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco AV46,Aggregator,0.16,0.12,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Antigua AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia AV133,Aggregator,0.2,0.14,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ethiopia AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia AV122,Aggregator,0.2,0.17,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland P55,Aggregator,0.235,0.18,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Poland P52,Aggregator,0.2,0.14,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Guatemala AT,Aggregator,0,0,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guyana LT4,Aggregator,0.07,0.05,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland P37,Aggregator,0.25,0.19,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Poland P53,Aggregator,0.235,0.18,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,EURO
Moldova FT19,Aggregator,0.1,0.07,7000,360000,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
