Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Afghanistan AT140,EZ_Mobile,0.1,0.07,980,3300,0,0.085,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan AT148,EZ_Mobile,0.1,0.07,980,3300,0,0.085,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan AT155,EZ_Mobile,0.1,0.07,980,3300,0,0.085,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan AT156,EZ_Mobile,0.1,0.07,980,3300,0,0.085,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Austria AT10,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Austria AT11,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Austria AT12,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Austria AT13,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Austria AT14,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba AT964,EZ_Mobile,0.3,0.22,980,3300,0,0.27,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Greece AT1,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Greece AT2,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT1,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT4,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT5,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT6,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT7,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT8,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT9,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT10,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT11,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT12,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT13,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT14,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT17,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT18,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT19,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT20,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT21,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT22,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT23,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT24,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT25,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT26,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT27,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT28,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT29,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT30,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT31,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar AT32,EZ_Mobile,0.11,0.08,980,3300,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT10,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT51,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT52,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT53,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT54,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT55,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT56,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT69,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT70,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Poland AT71,EZ_Mobile,0.15,0.11,980,3300,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT23,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT24,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT25,EZ_Mobile,0.12,0.09,980,3300,0,0.1,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT63,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT64,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT65,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT66,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT67,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT71,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT72,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT73,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT74,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT75,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT76,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT77,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT80,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT81,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT82,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT83,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT84,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT85,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Russia AT86,EZ_Mobile,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
