Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Albania CT13,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania CT14,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania CT15,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania CT16,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania CT17,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burundi CT22,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burundi CT23,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burundi CT24,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burundi CT25,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burundi CT26,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad CT62,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad CT63,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad CT64,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad CT65,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad CT66,Celestatel,0.21,0.15,980,3300,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Liberia CT15,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Liberia CT16,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Liberia CT17,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Liberia CT18,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Liberia CT19,Celestatel,0.17,0.12,980,3300,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar CT7,Celestatel,0.24,0.18,980,3300,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar CT8,Celestatel,0.24,0.18,980,3300,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar CT9,Celestatel,0.24,0.18,980,3300,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar CT10,Celestatel,0.24,0.18,980,3300,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar CT11,Celestatel,0.24,0.18,980,3300,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali CT18,Celestatel,0.16,0.12,980,3300,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali CT19,Celestatel,0.16,0.12,980,3300,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali CT20,Celestatel,0.16,0.12,980,3300,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali CT21,Celestatel,0.16,0.12,980,3300,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali CT22,Celestatel,0.16,0.12,980,3300,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco CT41,Celestatel,0.175,0.13,980,3300,0,0.155,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco CT42,Celestatel,0.175,0.13,980,3300,0,0.155,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco CT43,Celestatel,0.175,0.13,980,3300,0,0.155,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco CT44,Celestatel,0.175,0.13,980,3300,0,0.155,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco CT45,Celestatel,0.175,0.13,980,3300,0,0.155,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia CT17,Celestatel,0.2,0.15,980,3300,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia CT18,Celestatel,0.2,0.15,980,3300,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia CT19,Celestatel,0.2,0.15,980,3300,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia CT20,Celestatel,0.2,0.15,980,3300,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia CT21,Celestatel,0.2,0.15,980,3300,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
