Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Afghanistan LT1,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT2,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT3,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT4,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT5,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT6,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT7,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT8,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Afghanistan LT9,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania LT1,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania LT2,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania LT3,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania LT4,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT10,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT11,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT12,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT13,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT14,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT5,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT6,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT7,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria LT8,Lexico,0,0,980,2300,0,0,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
