0.55,0.38,0.35
0.44,0.37,0.32
0.42,0.36,0.31
0.4,0.35,0.3
0.35,0.28,0.25
0.33,0.28,0.24
0.32,0.27,0.24
0.31,0.26,0.23
0.3,0.26,0.23
0.29,0.25,0.23
0.285,0.24,0.22
0.28,0.24,0.22
0.27,0.23,0.2
0.265,0.22,0.2
0.26,0.22,0.19
0.25,0.22,0.19
0.245,0.21,0.19
0.24,0.2,0.18
0.235,0.2,0.18
0.23,0.19,0.17
0.22,0.19,0.17
0.21,0.185,0.16
0.2,0.17,0.15
0.195,0.17,0.14
0.19,0.16,0.14
0.185,0.15,0.13
0.18,0.15,0.13
0.175,0.155,0.13
0.17,0.15,0.12
0.16,0.14,0.12
0.15,0.13,0.11
0.145,0.125,0.1
0.14,0.12,0.1
0.135,0.115,0.1
0.13,0.11,0.09
0.125,0.105,0.09
0.12,0.1,0.08
0.115,0.095,0.08
0.11,0.09,0.07
0.105,0.085,0.07
0.1,0.085,0.07
0.095,0.075,0.07
0.09,0.075,0.07
0.085,0.07,0.06
0.08,0.065,0.06
0.075,0.065,0.05
0.07,0.06,0.05
0.065,0.055,0.04
0.06,0.05,0.045
0.055,0.05,0.04
0.05,0.045,0.035
0.04,0.035,0.03
0.03,0.025,0.02
0.025,0.0175,0.014
0.02,0.016,0.013
