Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title
Algeria ET1,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Algeria ET2,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Algeria ET3,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Algeria ET4,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Algeria ET5,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Algeria ET6,Executive Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba ET7,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba ET8,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba ET9,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba ET10,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Cuba ET11,Executive Telecom,0.32,0.25,980,1180,0,0.3,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea ET1,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea ET2,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea ET3,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea ET4,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea ET5,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Eritrea ET6,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Falkland Islands ET1,Executive Telecom,0.25,0.2,980,1180,0,0.22,Daily 1/1,Weekly 7/7,Monthly 30/30
Falkland Islands ET2,Executive Telecom,0.25,0.2,980,1180,0,0.22,Daily 1/1,Weekly 7/7,Monthly 30/30
Falkland Islands ET3,Executive Telecom,0.25,0.2,980,1180,0,0.22,Daily 1/1,Weekly 7/7,Monthly 30/30
Falkland Islands ET4,Executive Telecom,0.25,0.2,980,1180,0,0.22,Daily 1/1,Weekly 7/7,Monthly 30/30
Haiti ET1,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Haiti ET2,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Haiti ET3,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Haiti ET4,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Haiti ET5,Executive Telecom,0.11,0.08,980,1180,0,0.095,Daily 1/1,Weekly 7/7,Monthly 30/30
Honduras ET1,Executive Telecom,0.07,0.05,980,1180,0,0.06,Daily 1/1,Weekly 7/7,Monthly 30/30
Maldives ET1,Executive Telecom,0.3,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/7,Monthly 30/30
Maldives ET2,Executive Telecom,0.3,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/7,Monthly 30/30
Maldives ET3,Executive Telecom,0.3,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/7,Monthly 30/30
Maldives ET4,Executive Telecom,0.3,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/7,Monthly 30/30
Maldives ET5,Executive Telecom,0.3,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/7,Monthly 30/30
Togo ET1,Executive Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/7,Monthly 30/30
Togo ET2,Executive Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/7,Monthly 30/30
Togo ET3,Executive Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/7,Monthly 30/30
